"method","parameter","true_value","mean_est","bias","rmse","emp_se","mce_bias","mce_emp_se","mce_rmse"
"ELF","X_12",0.5,0.660612791164112,0.160612791164112,0.376453393100594,0.340812256939776,0.0152415874816493,0.0107882234873221,0.0129263886851074
"ELF","V_12",-0.3,-0.390364532305273,-0.0903645323052726,0.17631746456981,0.151552089015445,0.0067776154634127,0.00479729755305741,0.0051669400747169
"ELF","X_13",0.3,0.422753711667332,0.122753711667332,0.160816280179029,0.103995347526357,0.00465081332825296,0.00329191520525132,0.00427942026387873
"ELF","V_13",0.2,0.0954851414232957,-0.104514858576704,0.114981523550241,0.0479791526895989,0.0021456929383357,0.00151875354071908,0.00201439159953847
"ELF","gamma_13",-0.4,0.340104012665749,0.740104012665749,0.893507442004786,0.501102591260441,0.0224099891551928,0.0158621253623198,0.0170433008740301
"ELF","X_23",0.4,0.395128703136705,-0.00487129686329547,0.141200198914137,0.141257474096906,0.00631722628821194,0.00447142721184856,0.00384613863799827
"ELF","V_23",0.1,0.0948256308301416,-0.00517436916985836,0.0697528822787188,0.069630361656476,0.00311396443923551,0.00220411058510102,0.00235663583723641
"ELF","intercept_cure",1.16666910676099,0.602123723229268,-0.564545383531721,0.664862686535751,0.351536709315756,0.0157211995723323,0.0111277000954996,0.0148046926811643
"ELF","X_cure",0.5,0.777253110562689,0.277253110562689,0.436394502205627,0.337340289886892,0.0150863163947315,0.0106783202906371,0.0151720075656579
"ELF","V_cure",-0.2,-0.352582982641443,-0.152582982641443,0.228720027112725,0.170556334203573,0.00762751114544724,0.00539886642308082,0.00753230001175676
"Multicure","X_12",0.5,0.680098742505412,0.180098742505412,0.356241452147898,0.307671478453431,0.0137594868111947,0.00973917047477831,0.0114124778565085
"Multicure","V_12",-0.3,-0.362866582486365,-0.0628665824863654,0.164764050928935,0.152451527448696,0.0068178395729792,0.00482576877917506,0.00521603793106001
"Multicure","X_13",0.3,0.377043372213711,0.0770433722137114,0.13299232079425,0.108511869580521,0.00485279833495273,0.00343488321274981,0.00397427559291151
"Multicure","V_13",0.2,0.112979348375224,-0.0870206516247761,0.0980480693589551,0.0452207909670894,0.00202233525197441,0.00143143912606595,0.00190259024537278
"Multicure","gamma_13",-0.4,-0.0326639204637301,0.36733607953627,0.750527373853977,0.655144237186062,0.0292989409883056,0.0207382284623741,0.0511454688383535
"Multicure","X_23",0.4,0.397751989697821,-0.00224801030217859,0.138782712666422,0.138903477771458,0.00621195237216222,0.00439691276018154,0.00396650977817039
"Multicure","V_23",0.1,0.0966554975756582,-0.00334450242434184,0.0704621846525264,0.0704532546567137,0.00315076533297031,0.00223015880787455,0.00242651274030331
"Multicure","intercept_cure",1.16666910676099,0.826637102876629,-0.340032003884361,0.447885436446842,0.29180455842258,0.013049896575544,0.00923691189732775,0.0130970613478797
"Multicure","X_cure",0.5,0.737835984568903,0.237835984568903,0.368898811256535,0.282275994134028,0.0126237662260004,0.00893529046510215,0.0124274655466689
"Multicure","V_cure",-0.2,-0.283413397430209,-0.0834133974302095,0.182509897405677,0.162495776976669,0.00726703206752954,0.00514371394242471,0.00664941772089168
