"method","parameter","true_value","mean_est","bias","rmse","emp_se","mce_bias","mce_emp_se","mce_rmse"
"ELF","X_12",0.5,0.588840794629735,0.0888407946297351,0.19624591973408,0.175160316552643,0.00783340749544181,0.00554460293783951,0.00663313254105741
"ELF","V_12",-0.3,-0.301092092053273,-0.00109209205327256,0.0805667264188335,0.0806400047217098,0.00360633064527294,0.00255261474680544,0.00279872906197548
"ELF","X_13",0.3,0.308934991987007,0.00893499198700728,0.16231176244717,0.162227956797934,0.00725505478502158,0.00513523624280042,0.00654085436924845
"ELF","V_13",0.2,0.152360703981576,-0.0476392960184243,0.0810781640607954,0.0656718489600366,0.00293693436965481,0.00207880605518167,0.00254769461281179
"ELF","gamma_13",-0.4,-0.0514661126102498,0.34853388738975,0.755692132804543,0.671189779693044,0.0300165194639351,0.021246141235509,0.0209650109606037
"ELF","X_23",0.4,0.404504665120987,0.00450466512098734,0.0916905665875558,0.091671562351597,0.00409967690043563,0.00290181260193283,0.00291072921397648
"ELF","V_23",0.1,0.0995465300853142,-0.000453469914685777,0.0463571821458575,0.0464013887647695,0.00207513319056839,0.00146881029635301,0.00157491757499171
"ELF","intercept_cure",-0.24998232720929,-0.425942602923525,-0.175960275714235,0.399606518759659,0.359139685684347,0.0160612150121621,0.0113683681071776,0.0144017360677829
"ELF","X_cure",0.5,0.68057007910956,0.18057007910956,0.321359883701691,0.26609817334745,0.0119002720858684,0.00842319049619084,0.0136986050218823
"ELF","V_cure",-0.2,-0.207305202861275,-0.00730520286127488,0.138628614428799,0.138574646363734,0.00619724658454606,0.00438650378384943,0.0042410850007485
"Multicure","X_12",0.5,0.611348358287973,0.111348358287973,0.208112988021604,0.175995761044591,0.00787076970895032,0.00557104847114083,0.00689001521707231
"Multicure","V_12",-0.3,-0.290100108288506,0.00989989171149447,0.085494682257609,0.0850046140350316,0.00380152190766927,0.00269077404051677,0.00336818038009489
"Multicure","X_13",0.3,0.255561329416674,-0.0444386705833257,0.173878262585265,0.168272058666651,0.00752535523784927,0.00532655894441142,0.00800164340239053
"Multicure","V_13",0.2,0.168597693258943,-0.0314023067410575,0.0704269608273476,0.0631016289319461,0.00282199063565598,0.00199744716180264,0.00255390028821891
"Multicure","gamma_13",-0.4,0.303185782407254,0.703185782407254,0.988774472450286,0.695825451465707,0.031118260199036,0.0220259697992768,0.0358165928813009
"Multicure","X_23",0.4,0.40403817290198,0.00403817290197976,0.0913191866891887,0.0913212250765811,0.00408400934119587,0.00289072286926668,0.00285218295846196
"Multicure","V_23",0.1,0.0999387558512905,-6.12441487095388e-05,0.0464552258543871,0.0465017104684263,0.0020796197135483,0.0014719859243935,0.00158037959315513
"Multicure","intercept_cure",-0.24998232720929,-0.32106109752903,-0.0710787703197401,0.304970682776335,0.296868974699574,0.0132763841567782,0.00939722319340504,0.0113011063677397
"Multicure","X_cure",0.5,0.674108641795297,0.174108641795296,0.297649680444465,0.241657422274529,0.0108072484694644,0.00764953203936113,0.0123464966075298
"Multicure","V_cure",-0.2,-0.169589242401107,0.0304107575988928,0.13873988020707,0.135501518460658,0.00605981212664946,0.00428922561985026,0.00496495501545965
