"method","parameter","true_value","mean_est","bias","rmse","emp_se","mce_bias","mce_emp_se","mce_rmse"
"ELF","X_12",0.5,0.534737941411011,0.0347379414110111,0.117070344612819,0.111909734122963,0.00500475545685748,0.00354244073545356,0.00449929798062768
"ELF","V_12",-0.3,-0.279322832497866,0.0206771675021335,0.0619689952972982,0.0584760636695892,0.00261512906843615,0.00185102745186152,0.00215845845484598
"ELF","X_13",0.3,0.214564381209507,-0.085435618790493,0.160178455149349,0.135626995468148,0.0060654236290167,0.00429319752512,0.00568158922204536
"ELF","V_13",0.2,0.206677219264768,0.00667721926476788,0.0546426495389908,0.0542874584763998,0.00242780894957854,0.00171843947122363,0.00225815004470632
"ELF","gamma_13",-0.4,-0.34166043890259,0.0583395610974105,0.551532316336881,0.548987400499046,0.0245514629261354,0.0173778925132798,0.0208897934271219
"ELF","X_23",0.4,0.397754394152112,-0.00224560584788786,0.0759059364118993,0.0759486987817204,0.00339652906557165,0.00240411405207558,0.0023793448154798
"ELF","V_23",0.1,0.101657741579468,0.0016577415794681,0.0393798716000305,0.0393843679264314,0.00176132247868726,0.00124669038288827,0.00131250969867928
"ELF","intercept_cure",-1.66664027731256,-1.47473720633139,0.191903070981167,0.602860411875224,0.572073792795272,0.0255839177767272,0.0181086794921404,0.0178120766378956
"ELF","X_cure",0.5,0.575447291422756,0.0754472914227562,0.374163524763931,0.366844926202475,0.0164058038437925,0.011612273233946,0.0188256158518517
"ELF","V_cure",-0.2,-0.0991205764936483,0.100879423506352,0.230833575079919,0.207831347576041,0.00929450042070828,0.006578786354265,0.0063640672063962
"Multicure","X_12",0.5,0.542666408914347,0.0426664089143469,0.119457865577857,0.111690235096911,0.0049949391619925,0.00353549261519061,0.00461758639639273
"Multicure","V_12",-0.3,-0.282188969506558,0.0178110304934418,0.0623683179714071,0.0598308761998176,0.00267571812672333,0.00189391329314777,0.00208624211386097
"Multicure","X_13",0.3,0.205873356277863,-0.0941266437221373,0.168149206987922,0.139474862347042,0.00623750546720824,0.00441499962288407,0.00631596834749345
"Multicure","V_13",0.2,0.210618773140592,0.0106187731405917,0.0555790669609579,0.0546098784001305,0.00244222800691379,0.00172864549557617,0.00240645949826215
"Multicure","gamma_13",-0.4,0.36548981638757,0.76548981638757,0.937913634080171,0.542490477184686,0.0242609116826252,0.0171722359992663,0.0255613199862778
"Multicure","X_23",0.4,0.396370755230619,-0.00362924476938075,0.0746868264228323,0.0746733073405522,0.00333949182636417,0.00236374224143506,0.00234113797915617
"Multicure","V_23",0.1,0.101433502524357,0.00143350252435652,0.0390684313998713,0.0390812242225417,0.00174776548011029,0.00123709453661295,0.00127648880964974
"Multicure","intercept_cure",-1.66664027731256,-1.49126783848674,0.175372438825817,0.534231676571647,0.505131971439126,0.0225901885149274,0.0159896731631922,0.0169141635219936
"Multicure","X_cure",0.5,0.598452499722206,0.0984524997222057,0.369497367660432,0.356496268121852,0.015942997784909,0.0112846921863331,0.0205746275278222
"Multicure","V_cure",-0.2,-0.10223066369761,0.0977693363023904,0.215735060100239,0.192501654042406,0.00860893568439933,0.00609353338443933,0.00594705820696247
