"method","parameter","true_value","mean_est","bias","rmse","emp_se","mce_bias","mce_emp_se","mce_rmse"
"ELF","X_12",0.5,0.690641622107976,0.190641622107976,0.393088735594046,0.344109500985227,0.01538904471813,0.0108925959238476,0.0136948586495721
"ELF","V_12",-0.3,-0.388093342344881,-0.0880933423448811,0.186703323753632,0.164778633722409,0.00736912452485693,0.00521597651004398,0.00606262817468623
"ELF","X_13",0.3,0.414630047309844,0.114630047309844,0.174817713991651,0.13212152577895,0.00590865425865447,0.00418223382101301,0.00539580579620627
"ELF","V_13",0.2,0.0998388313958436,-0.100161168604156,0.114804203266336,0.056160960626264,0.00251159451284031,0.00177774414552789,0.00245312876526736
"ELF","gamma_13",-0.4,0.280799725698739,0.680799725698739,0.912930867543708,0.608848005820016,0.0272285105795749,0.0192727468653142,0.0193841806156069
"ELF","X_23",0.4,0.399949638728829,-5.03612711714216e-05,0.148986455317565,0.149135657105454,0.0066695493431379,0.00472080673749531,0.00497707340520302
"ELF","V_23",0.1,0.105285725952155,0.00528572595215492,0.0738936918950427,0.0737782166601044,0.00329946215421402,0.00233540864102762,0.00212070409969197
"ELF","intercept_cure",1.16666910676099,0.600162213493258,-0.566506893267732,0.688946410187187,0.392460375429825,0.0175513615587236,0.0124231161111188,0.0170460275841374
"ELF","X_cure",0.5,0.802535064910376,0.302535064910376,0.475581868018692,0.367315244259143,0.0164268371067076,0.011627160891893,0.0166238632571951
"ELF","V_cure",-0.2,-0.338365889836634,-0.138365889836634,0.229791830978583,0.183648085622781,0.00821299206780478,0.00581327857309875,0.0079354773088503
"Multicure","X_12",0.5,0.704876708703332,0.204876708703332,0.377423724287125,0.317294111183358,0.0141898240293273,0.0100437695914856,0.0123988004791135
"Multicure","V_12",-0.3,-0.352626289927233,-0.0526262899272326,0.173057910864522,0.165027216196174,0.00738024147104398,0.00522384525075796,0.00621731355898441
"Multicure","X_13",0.3,0.357313676866526,0.0573136768665265,0.134895026318309,0.122236221953116,0.00546657003199839,0.00386931999605036,0.00461642057768191
"Multicure","V_13",0.2,0.12012547682865,-0.0798745231713502,0.0939250854540739,0.0494659072256827,0.00221218262250649,0.00156581593322246,0.0021646509848943
"Multicure","gamma_13",-0.4,0.162433062158183,0.562433062158183,1.11173310670807,0.959928370293497,0.042929301790137,0.0303860016172397,0.1044250146341
"Multicure","X_23",0.4,0.398051379689614,-0.00194862031038565,0.147106283152224,0.147240690924336,0.00658480387921704,0.00466082263115365,0.00475854443825613
"Multicure","V_23",0.1,0.106156868568482,0.00615686856848158,0.0734968678423752,0.0733118804539988,0.00327860696506959,0.0023206470263578,0.00209778316385274
"Multicure","intercept_cure",1.16666910676099,0.85854025445772,-0.308128852303269,0.447163057397075,0.324379182419193,0.0145066780475024,0.0102680436026439,0.0134666128560132
"Multicure","X_cure",0.5,0.74951574336375,0.24951574336375,0.399177650022962,0.311896214450684,0.0139484227487317,0.0098729021560346,0.0136608703294469
"Multicure","V_cure",-0.2,-0.258325284735708,-0.0583252847357075,0.180555200203537,0.171046353926124,0.00764942549364603,0.00541437772636417,0.00693035531104345
