"method","parameter","true_value","mean_est","bias","rmse","emp_se","mce_bias","mce_emp_se","mce_rmse"
"ELF","X_12",0.5,0.609268002326704,0.109268002326704,0.242511602032445,0.216717127645011,0.00969188458605485,0.00686006080754904,0.00821475350240032
"ELF","V_12",-0.3,-0.280790876020285,0.0192091239797153,0.100026751955292,0.0982632790347995,0.00439446743227683,0.00311046974760605,0.00356517928827168
"ELF","X_13",0.3,0.222431301472632,-0.0775686985273685,0.188015006678669,0.171439560168391,0.00766701021138377,0.00542682445247748,0.00891107760452007
"ELF","V_13",0.2,0.187467341428528,-0.0125326585714722,0.0663639339719732,0.0652350782342735,0.00291740138898705,0.00206498031943918,0.00245475382827964
"ELF","gamma_13",-0.4,-0.453255697386463,-0.0532556973864627,0.726536251973872,0.725307450619371,0.0324367352834397,0.022959206175746,0.0403588161750262
"ELF","X_23",0.4,0.403306611512583,0.00330661151258282,0.113227503975719,0.113292561034022,0.00506659735634235,0.00358621335647001,0.00388120785614349
"ELF","V_23",0.1,0.101126984217323,0.00112698421732285,0.0558999540920749,0.0559445650871966,0.00250191701013266,0.00177089426442889,0.00182040365795084
"ELF","intercept_cure",-0.24998232720929,-0.358571601366738,-0.108589274157448,0.414547230131735,0.400472886239603,0.0179096919355459,0.0126767477090157,0.0185158856896335
"ELF","X_cure",0.5,0.711642938835786,0.211642938835786,0.392928983843529,0.331391147997653,0.0148202626812889,0.0104900034946533,0.0167277739342823
"ELF","V_cure",-0.2,-0.168534509815066,0.0314654901849338,0.168278451933664,0.165476055556498,0.00740031417745723,0.00523805301245222,0.00610470928564099
"Multicure","X_12",0.5,0.616588227497613,0.116588227497613,0.242167127911351,0.212467380615115,0.00950183012113437,0.00672553741588829,0.00775328311576128
"Multicure","V_12",-0.3,-0.272589585247229,0.0274104147527708,0.104639978823683,0.101087247437503,0.00452075913857194,0.0031998609054331,0.00364036167205544
"Multicure","X_13",0.3,0.182264994215274,-0.117735005784726,0.206347730779335,0.169633148945286,0.00758622504558012,0.00536964350435121,0.00920956862829915
"Multicure","V_13",0.2,0.198707017483056,-0.00129298251694366,0.0629186752799674,0.0629683883473205,0.00281603193556429,0.00199322950479279,0.00251027772233309
"Multicure","gamma_13",-0.4,0.68923553279735,1.08923553279735,1.31110393309416,0.730497591322871,0.032668845431956,0.0231234972090051,0.0430341163647527
"Multicure","X_23",0.4,0.403560876137448,0.00356087613744752,0.11057353772489,0.110626868409802,0.00494738395804483,0.00350183233086718,0.00392861534053735
"Multicure","V_23",0.1,0.101360404697698,0.00136040469769838,0.0558247063304443,0.0558640198461009,0.00249831491744558,0.00176834464937226,0.00184318252457436
"Multicure","intercept_cure",-0.24998232720929,-0.250071747447894,-8.94202386037684e-05,0.334083808501417,0.334418382293294,0.0149556447146663,0.0105858289218932,0.0114166836080777
"Multicure","X_cure",0.5,0.683912163369309,0.183912163369309,0.354326565126004,0.303162408306891,0.0135578350639351,0.00959643835329395,0.014490726150394
"Multicure","V_cure",-0.2,-0.138095221489899,0.0619047785101008,0.167547751771804,0.155848082346057,0.00696973812577537,0.00493328484578813,0.00539276438132156
