"method","mean_runtime","sd_runtime","median_runtime","IQR_runtime","n"
"ELF",15.8261915249295,6.62608240676739,19.3653597831726,10.2815224528313,4500
"Multicure",47.9729723931419,20.0047573477152,56.3689566850662,31.6715645194054,4500
